Name,EnergyCost,StarCost,BaseText,UpgradedText
Conqueror,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Forge[/gold] {Forge:diff()}.
[gold]Sovereign Blade[/gold] deals double damage to the enemy this turn.","[gold]Forge[/gold] {Forge:diff()}.
[gold]Sovereign Blade[/gold] deals double damage to the enemy this turn."
Consuming Shadow,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Channel[/gold] {Repeat:diff()} [gold]Dark[/gold].
At the end of your turn, [gold]Evoke[/gold] your leftmost Orb.","[gold]Channel[/gold] {Repeat:diff()} [gold]Dark[/gold].
At the end of your turn, [gold]Evoke[/gold] your leftmost Orb."
Convergence,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Next turn,
gain {Energy:energyIcons()} and {Stars:starIcons()}.
[gold]Retain[/gold] your [gold]Hand[/gold] this turn.","Next turn,
gain {Energy:energyIcons()} and {Stars:starIcons()}.
[gold]Retain[/gold] your [gold]Hand[/gold] this turn."
Coolant,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, gain {CoolantPower:diff()} [gold]Block[/gold] for each unique Orb you have.","At the start of your turn, gain {CoolantPower:diff()} [gold]Block[/gold] for each unique Orb you have."
Coolheaded,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Channel[/gold] 1 [gold]Frost[/gold].
Draw {Cards:diff()} {Cards:plural:card|cards}.","[gold]Channel[/gold] 1 [gold]Frost[/gold].
Draw {Cards:diff()} {Cards:plural:card|cards}."
Coordinate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Give another player {StrengthPower:diff()} [gold]Strength[/gold] this turn.,Give another player {StrengthPower:diff()} [gold]Strength[/gold] this turn.
Corrosive Wave,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you draw a card this turn, apply {CorrosiveWave:diff()} [gold]Poison[/gold] to ALL enemies.","Whenever you draw a card this turn, apply {CorrosiveWave:diff()} [gold]Poison[/gold] to ALL enemies."
Corruption,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Skills cost 0 {energyPrefix:energyIcons(1)}.
Whenever you play a Skill, [gold]Exhaust[/gold] it.","Skills cost 0 {energyPrefix:energyIcons(1)}.
Whenever you play a Skill, [gold]Exhaust[/gold] it."
Cosmic Indifference,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Put a card from your [gold]Discard Pile[/gold] on top of your [gold]Draw Pile[/gold].","Gain {Block:diff()} [gold]Block[/gold].
Put a card from your [gold]Discard Pile[/gold] on top of your [gold]Draw Pile[/gold]."
Countdown,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, apply {CountdownPower:diff()} [gold]Doom[/gold] to a random enemy.","At the start of your turn, apply {CountdownPower:diff()} [gold]Doom[/gold] to a random enemy."
Crash Landing,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage to ALL enemies.
Fill your [gold]Hand[/gold] with [gold]Debris[/gold].","Deal {Damage:diff()} damage to ALL enemies.
Fill your [gold]Hand[/gold] with [gold]Debris[/gold]."
Creative AI,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, add a random Power into your [gold]Hand[/gold].","At the start of your turn, add a random Power into your [gold]Hand[/gold]."
Crescent Spear,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,1,"Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for ALL your cards that have a {singleStarIcon} cost.","Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for ALL your cards that have a {singleStarIcon} cost."
Crimson Mantle,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, lose 1 HP and gain {CrimsonMantlePower:diff()} [gold]Block[/gold].","At the start of your turn, lose 1 HP and gain {CrimsonMantlePower:diff()} [gold]Block[/gold]."
Cruelty,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Vulnerable[/gold] enemies take an additional {CrueltyPower:diff()}% damage.,[gold]Vulnerable[/gold] enemies take an additional {CrueltyPower:diff()}% damage.
Crush Under,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage to ALL enemies. All enemies lose {StrengthLoss:diff()} [gold]Strength[/gold] this turn.,Deal {Damage:diff()} damage to ALL enemies. All enemies lose {StrengthLoss:diff()} [gold]Strength[/gold] this turn.
Curse of the Bell,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,,
Dagger Spray,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage to ALL enemies twice.,Deal {Damage:diff()} damage to ALL enemies twice.
Dagger Throw,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Draw 1 card.
Discard 1 card.","Deal {Damage:diff()} damage.
Draw 1 card.
Discard 1 card."
Danse Macabre,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you play a card that costs {Energy:energyIcons()} or more, gain {DanseMacabrePower:diff()} [gold]Block[/gold].","Whenever you play a card that costs {Energy:energyIcons()} or more, gain {DanseMacabrePower:diff()} [gold]Block[/gold]."
Dark Embrace,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever a card is [gold]Exhausted[/gold],
draw 1 card.","Whenever a card is [gold]Exhausted[/gold],
draw 1 card."
Darkness,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Channel[/gold] 1 [gold]Dark[/gold].
Trigger the passive ability of all [gold]Dark[/gold] Orbs{IfUpgraded:show: twice|}.","[gold]Channel[/gold] 1 [gold]Dark[/gold].
Trigger the passive ability of all [gold]Dark[/gold] Orbs{IfUpgraded:show: twice|}."
Dark Shackles,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Enemy loses {StrengthLoss:diff()} [gold]Strength[/gold] this turn.,Enemy loses {StrengthLoss:diff()} [gold]Strength[/gold] this turn.
Dash,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Deal {Damage:diff()} damage.","Gain {Block:diff()} [gold]Block[/gold].
Deal {Damage:diff()} damage."
Dazed,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,,
Deadly Poison,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Apply {PoisonPower:diff()} [gold]Poison[/gold].,Apply {PoisonPower:diff()} [gold]Poison[/gold].
Deathbringer,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Apply {DoomPower:diff()} [gold]Doom[/gold] and {WeakPower:diff()} [gold]Weak[/gold] to ALL enemies.,Apply {DoomPower:diff()} [gold]Doom[/gold] and {WeakPower:diff()} [gold]Weak[/gold] to ALL enemies.
Death March,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each card drawn during your turn.","Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each card drawn during your turn."
Death's Door,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
If you applied [gold]Doom[/gold] this turn, gain [gold]Block[/gold] {Repeat:diff()} additional {Repeat:plural:time|times}.","Gain {Block:diff()} [gold]Block[/gold].
If you applied [gold]Doom[/gold] this turn, gain [gold]Block[/gold] {Repeat:diff()} additional {Repeat:plural:time|times}."
Debilitate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
[gold]Vulnerable[/gold] and [gold]Weak[/gold] are twice as effective against the enemy for the next {DebilitatePower:diff()} {DebilitatePower:plural:turn|turns}.","Deal {Damage:diff()} damage.
[gold]Vulnerable[/gold] and [gold]Weak[/gold] are twice as effective against the enemy for the next {DebilitatePower:diff()} {DebilitatePower:plural:turn|turns}."
Debris,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,,
Debt,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the end of your turn, if this is in your [gold]Hand[/gold], lose {Gold:diff()} [gold]Gold[/gold].","At the end of your turn, if this is in your [gold]Hand[/gold], lose {Gold:diff()} [gold]Gold[/gold]."
Decay,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the end of your turn, if this is in your [gold]Hand[/gold], take {Damage:diff()} damage.","At the end of your turn, if this is in your [gold]Hand[/gold], take {Damage:diff()} damage."
"Decisions, Decisions",MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,6,"Draw {Cards:diff()} cards.
Choose a Skill in your [gold]Hand[/gold] and play it {Repeat:diff()} times.","Draw {Cards:diff()} cards.
Choose a Skill in your [gold]Hand[/gold] and play it {Repeat:diff()} times."
Defend,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Defend,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Defend,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Defend,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Defend,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Defile,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage.,Deal {Damage:diff()} damage.
Deflect,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {Block:diff()} [gold]Block[/gold].,Gain {Block:diff()} [gold]Block[/gold].
Defragment,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {FocusPower:diff()} [gold]Focus[/gold].,Gain {FocusPower:diff()} [gold]Focus[/gold].
Defy,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Apply {WeakPower:diff()} [gold]Weak[/gold].","Gain {Block:diff()} [gold]Block[/gold].
Apply {WeakPower:diff()} [gold]Weak[/gold]."
Delay,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Next turn,
gain {Energy:energyIcons()}.","Gain {Block:diff()} [gold]Block[/gold].
Next turn,
gain {Energy:energyIcons()}."
Demesne,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, gain {Energy:energyIcons()} and draw {Cards:diff()} additional {Cards:plural:card|cards}.","At the start of your turn, gain {Energy:energyIcons()} and draw {Cards:diff()} additional {Cards:plural:card|cards}."
Demon Form,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, gain {StrengthPower:diff()} [gold]Strength[/gold].","At the start of your turn, gain {StrengthPower:diff()} [gold]Strength[/gold]."
Demonic Shield,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Lose {HpLoss:diff()} HP.
Give another player [gold]Block[/gold] equal to your [gold]Block[/gold].{InCombat:
(Gives {CalculatedBlock:diff()} [gold]Block[/gold])|}","Lose {HpLoss:diff()} HP.
Give another player [gold]Block[/gold] equal to your [gold]Block[/gold].{InCombat:
(Gives {CalculatedBlock:diff()} [gold]Block[/gold])|}"
Deprecated Card,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,This card has been removed from the game.,This card has been removed from the game.
Devastate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,4,Deal {Damage:diff()} damage.,Deal {Damage:diff()} damage.
Devour Life,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever you play a [gold]Soul[/gold], [gold]Summon[/gold] {DevourLifePower:diff()}.","Whenever you play a [gold]Soul[/gold], [gold]Summon[/gold] {DevourLifePower:diff()}."
Dirge,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Summon[/gold] {Summon:diff()} X times.
Add X [gold]{IfUpgraded:show:Souls+|Souls}[/gold] into your [gold]Draw Pile[/gold].","[gold]Summon[/gold] {Summon:diff()} X times.
Add X [gold]{IfUpgraded:show:Souls+|Souls}[/gold] into your [gold]Draw Pile[/gold]."
Discovery,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Choose 1 of 3 random cards to add into your [gold]Hand[/gold]. It costs 0 {energyPrefix:energyIcons(1)} this turn.,Choose 1 of 3 random cards to add into your [gold]Hand[/gold]. It costs 0 {energyPrefix:energyIcons(1)} this turn.
Disintegration,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the end of your turn, take {DisintegrationPower:diff()} damage.","At the end of your turn, take {DisintegrationPower:diff()} damage."
Dismantle,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
If the enemy is [gold]Vulnerable[/gold], hits twice.","Deal {Damage:diff()} damage.
If the enemy is [gold]Vulnerable[/gold], hits twice."
Distraction,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Add a random Skill into your [gold]Hand[/gold]. It's free to play this turn.,Add a random Skill into your [gold]Hand[/gold]. It's free to play this turn.
Dodge and Roll,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Next turn, gain {Block:diff()} [gold]Block[/gold].","Gain {Block:diff()} [gold]Block[/gold].
Next turn, gain {Block:diff()} [gold]Block[/gold]."
Dominate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {StrengthPerVulnerable:diff()} [gold]Strength[/gold] for each [gold]Vulnerable[/gold] on the enemy.,Gain {StrengthPerVulnerable:diff()} [gold]Strength[/gold] for each [gold]Vulnerable[/gold] on the enemy.
Double Energy,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Double your Energy.,Double your Energy.
Doubt,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the end of your turn, if this is in your [gold]Hand[/gold], gain {WeakPower:diff()} [gold]Weak[/gold].","At the end of your turn, if this is in your [gold]Hand[/gold], gain {WeakPower:diff()} [gold]Weak[/gold]."
Drain Power,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
[gold]Upgrade[/gold] {Cards:diff()} random {Cards:plural:card|cards} in your [gold]Discard Pile[/gold].","Deal {Damage:diff()} damage.
[gold]Upgrade[/gold] {Cards:diff()} random {Cards:plural:card|cards} in your [gold]Discard Pile[/gold]."
Dramatic Entrance,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage to ALL enemies.,Deal {Damage:diff()} damage to ALL enemies.
Dredge,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Put {Cards:diff()} {Cards:plural:card|cards} from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold].,Put {Cards:diff()} {Cards:plural:card|cards} from your [gold]Discard Pile[/gold] into your [gold]Hand[/gold].
Drum of Battle,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Draw {Cards:diff()} cards.
At the start of your turn, [gold]Exhaust[/gold] the top card of your [gold]Draw Pile[/gold].","Draw {Cards:diff()} cards.
At the start of your turn, [gold]Exhaust[/gold] the top card of your [gold]Draw Pile[/gold]."
Dualcast,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,[gold]Evoke[/gold] your rightmost Orb twice.,[gold]Evoke[/gold] your rightmost Orb twice.
Dual Wield,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Choose an Attack or Power card. Add {IfUpgraded:show:{Cards} copies|a copy} of that card into your [gold]Hand[/gold].,Choose an Attack or Power card. Add {IfUpgraded:show:{Cards} copies|a copy} of that card into your [gold]Hand[/gold].
Dying Star,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,3,Deal {Damage:diff()} damage to ALL enemies. ALL enemies lose {StrengthLoss:diff()} [gold]Strength[/gold] this turn.,Deal {Damage:diff()} damage to ALL enemies. ALL enemies lose {StrengthLoss:diff()} [gold]Strength[/gold] this turn.
Echo Form,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,The first card you play each turn is played an extra time.,The first card you play each turn is played an extra time.
Echoing Slash,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage to ALL enemies.
Repeat this effect for each enemy killed.","Deal {Damage:diff()} damage to ALL enemies.
Repeat this effect for each enemy killed."
Eidolon,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Exhaust[/gold] your [gold]Hand[/gold].
If 9 cards were [gold]Exhausted[/gold] this way, gain 1 [gold]Intangible[/gold].","[gold]Exhaust[/gold] your [gold]Hand[/gold].
If 9 cards were [gold]Exhausted[/gold] this way, gain 1 [gold]Intangible[/gold]."
End of Days,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Apply {DoomPower:diff()} [gold]Doom[/gold] to ALL enemies.
Kill enemies with at least as much [gold]Doom[/gold] as HP.","Apply {DoomPower:diff()} [gold]Doom[/gold] to ALL enemies.
Kill enemies with at least as much [gold]Doom[/gold] as HP."
Energy Surge,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,ALL players gain {Energy:energyIcons()}.,ALL players gain {Energy:energyIcons()}.
Enfeebling Touch,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Enemy loses {StrengthLoss:diff()} [gold]Strength[/gold] this turn.,Enemy loses {StrengthLoss:diff()} [gold]Strength[/gold] this turn.
Enlightenment,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Reduce the cost of ALL cards in your [gold]Hand[/gold] to 1 this {IfUpgraded:show:combat|turn}.,Reduce the cost of ALL cards in your [gold]Hand[/gold] to 1 this {IfUpgraded:show:combat|turn}.
Enthralled,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"If this is in your [gold]Hand[/gold], it must be played before other cards.","If this is in your [gold]Hand[/gold], it must be played before other cards."
Entrench,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Double your [gold]Block[/gold].,Double your [gold]Block[/gold].
Entropy,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"At the start of your turn, [gold]Transform[/gold] {Cards:diff()} {Cards:plural:card|cards} in your [gold]Hand[/gold].","At the start of your turn, [gold]Transform[/gold] {Cards:diff()} {Cards:plural:card|cards} in your [gold]Hand[/gold]."
Envenom,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever an Attack deals unblocked damage, apply {EnvenomPower:diff()} [gold]Poison[/gold].","Whenever an Attack deals unblocked damage, apply {EnvenomPower:diff()} [gold]Poison[/gold]."
Equilibrium,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
[gold]Retain[/gold] your [gold]Hand[/gold] this turn.","Gain {Block:diff()} [gold]Block[/gold].
[gold]Retain[/gold] your [gold]Hand[/gold] this turn."
Eradicate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage X times.,Deal {Damage:diff()} damage X times.
Escape Plan,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Draw 1 card.
If you draw a Skill, gain {Block:diff()} [gold]Block[/gold].","Draw 1 card.
If you draw a Skill, gain {Block:diff()} [gold]Block[/gold]."
Eternal Armor,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {PlatingPower:diff()} [gold]Plating[/gold].,Gain {PlatingPower:diff()} [gold]Plating[/gold].
Evil Eye,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Gain another {Block:diff()} [gold]Block[/gold] if you have [gold]Exhausted[/gold] a card this turn.","Gain {Block:diff()} [gold]Block[/gold].
Gain another {Block:diff()} [gold]Block[/gold] if you have [gold]Exhausted[/gold] a card this turn."
Expect a Fight,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {energyPrefix:energyIcons(1)} for each Attack in your [gold]Hand[/gold].{InCombat:
(Gain {CalculatedEnergy:energyIcons()}.)|}","Gain {energyPrefix:energyIcons(1)} for each Attack in your [gold]Hand[/gold].{InCombat:
(Gain {CalculatedEnergy:energyIcons()}.)|}"
Expertise,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Draw cards until you have {Cards:diff()} in your [gold]Hand[/gold].,Draw cards until you have {Cards:diff()} in your [gold]Hand[/gold].
Expose,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Remove all [gold]Artifact[/gold] and [gold]Block[/gold] from the enemy.
Apply {Power:diff()} [gold]Vulnerable[/gold].","Remove all [gold]Artifact[/gold] and [gold]Block[/gold] from the enemy.
Apply {Power:diff()} [gold]Vulnerable[/gold]."
Exterminate,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Deal {Damage:diff()} damage {Repeat:diff()} times to ALL enemies.,Deal {Damage:diff()} damage {Repeat:diff()} times to ALL enemies.
Falling Star,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,2,"Deal {Damage:diff()} damage.
Apply {WeakPower:diff()} [gold]Weak[/gold].
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal {Damage:diff()} damage.
Apply {WeakPower:diff()} [gold]Weak[/gold].
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold]."
Fan of Knives,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Shivs[/gold] now hit ALL enemies.
Add {Shivs:diff()} [gold]Shivs[/gold] into your [gold]Hand[/gold].","[gold]Shivs[/gold] now hit ALL enemies.
Add {Shivs:diff()} [gold]Shivs[/gold] into your [gold]Hand[/gold]."
Fasten,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain an additional {ExtraBlock:diff()} [gold]Block[/gold] from Defend cards.,Gain an additional {ExtraBlock:diff()} [gold]Block[/gold] from Defend cards.
Fear,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold]."
Feed,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
If [gold]Fatal[/gold], raise your Max HP by {MaxHp:diff()}.","Deal {Damage:diff()} damage.
If [gold]Fatal[/gold], raise your Max HP by {MaxHp:diff()}."
Feeding Frenzy,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,Gain {StrengthPower:diff()} [gold]Strength[/gold] this turn.,Gain {StrengthPower:diff()} [gold]Strength[/gold] this turn.
Feel No Pain,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Whenever a card is [gold]Exhausted[/gold], gain {Power:diff()} [gold]Block[/gold].","Whenever a card is [gold]Exhausted[/gold], gain {Power:diff()} [gold]Block[/gold]."
Feral,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"The first {FeralPower:plural:time|{FeralPower:diff()} times} you play a
0{energyPrefix:energyIcons(1)} Attack each turn,
return it to your [gold]Hand[/gold].","The first {FeralPower:plural:time|{FeralPower:diff()} times} you play a
0{energyPrefix:energyIcons(1)} Attack each turn,
return it to your [gold]Hand[/gold]."
Fetch,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Osty[/gold] deals {OstyDamage:diff()} damage.
If this is the first time this card has been played this turn, draw {Cards:diff()} {Cards:plural:card|cards}.","[gold]Osty[/gold] deals {OstyDamage:diff()} damage.
If this is the first time this card has been played this turn, draw {Cards:diff()} {Cards:plural:card|cards}."
Fiend Fire,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Exhaust[/gold] your [gold]Hand[/gold].
Deal {Damage:diff()} damage for each card [gold]Exhausted[/gold].","[gold]Exhaust[/gold] your [gold]Hand[/gold].
Deal {Damage:diff()} damage for each card [gold]Exhausted[/gold]."
Fight Me!,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage twice.
Gain {StrengthPower:diff()} [gold]Strength[/gold].
The enemy gains {EnemyStrength:diff()} [gold]Strength[/gold].","Deal {Damage:diff()} damage twice.
Gain {StrengthPower:diff()} [gold]Strength[/gold].
The enemy gains {EnemyStrength:diff()} [gold]Strength[/gold]."
Fight Through,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Add 2 [gold]Wounds[/gold] into your [gold]Discard Pile[/gold].","Gain {Block:diff()} [gold]Block[/gold].
Add 2 [gold]Wounds[/gold] into your [gold]Discard Pile[/gold]."
Finesse,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Draw 1 card.","Gain {Block:diff()} [gold]Block[/gold].
Draw 1 card."
Finisher,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage for each Attack already played this turn.{InCombat:
(Hits {CalculatedHits:diff()} {CalculatedHits:plural:time|times})|}","Deal {Damage:diff()} damage for each Attack already played this turn.{InCombat:
(Hits {CalculatedHits:diff()} {CalculatedHits:plural:time|times})|}"
Fisticuffs,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Gain [gold]Block[/gold] equal to damage dealt.","Deal {Damage:diff()} damage.
Gain [gold]Block[/gold] equal to damage dealt."
Flak Cannon,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Exhaust[/gold] ALL your [gold]Status[/gold] cards.
Deal {Damage:diff()} damage to a random enemy for each card [gold]Exhausted[/gold].{InCombat:
(Hits {CalculatedHits:diff()} {CalculatedHits:plural:time|times})|}","[gold]Exhaust[/gold] ALL your [gold]Status[/gold] cards.
Deal {Damage:diff()} damage to a random enemy for each card [gold]Exhausted[/gold].{InCombat:
(Hits {CalculatedHits:diff()} {CalculatedHits:plural:time|times})|}"
Flame Barrier,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Gain {Block:diff()} [gold]Block[/gold].
Whenever you are attacked this turn, deal {DamageBack:diff()} damage back.","Gain {Block:diff()} [gold]Block[/gold].
Whenever you are attacked this turn, deal {DamageBack:diff()} damage back."
Flanking,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,The enemy takes double damage from other players this turn.,The enemy takes double damage from other players this turn.
Flash of Steel,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"Deal {Damage:diff()} damage.
Draw 1 card.","Deal {Damage:diff()} damage.
Draw 1 card."
Flatten,MegaCrit.Sts2.Core.Entities.Cards.CardEnergyCost,,"[gold]Osty[/gold] deals {OstyDamage:diff()} damage.
This card costs 0 {energyPrefix:energyIcons(1)} if [gold]Osty[/gold] has attacked this turn.","[gold]Osty[/gold] deals {OstyDamage:diff()} damage.
This card costs 0 {energyPrefix:energyIcons(1)} if [gold]Osty[/gold] has attacked this turn."
